"category","thresholdSensitivity","categoryType","alias","feedExpirationDate","feedIsStale"
"Macrodantin",,"Therapy","[u'Nitrofurantoin, Macrocrystalline']",,
"Macrotec",,"Therapy","[u'Technetium Tc-99M Albumin Aggregated Kit']",,
"Macugen",,"Therapy","[u'Pegaptanib Sodium']",,
"Magnacort",,"Therapy","[u'Hydrocortamate Hydrochloride']",,
"Magnesium Hydroxide And Omeprazole And Sodium Bicarbonate",,"Therapy","[u'Magnesium Hydroxide; Omeprazole; Sodium Bicarbonate']",,
"Magnesium Sulfate",,"Therapy",,,
"Magnesium Sulfate In Dextrose 5% In Plastic Container",,"Therapy","[u'Magnesium Sulfate']",,
"Magnesium Sulfate In Plastic Container",,"Therapy","[u'Magnesium Sulfate']",,
"Magnevist",,"Therapy","[u'Gadopentetate Dimeglumine']",,
"Makena",,"Therapy","[u'Hydroxyprogesterone Caproate']",,
"Malarone",,"Therapy","[u'Atovaquone; Proguanil Hydrochloride']",,
"Malarone Pediatric",,"Therapy","[u'Atovaquone; Proguanil Hydrochloride']",,
"Malathion",,"Therapy",,,
"Mandol",,"Therapy","[u'Cefamandole Nafate']",,
"Manganese Chloride In Plastic Container",,"Therapy","[u'Manganese Chloride']",,
"Manganese Sulfate",,"Therapy",,,
"Mannitol 10%",,"Therapy","[u'Mannitol']",,
"Mannitol 10% In Plastic Container",,"Therapy","[u'Mannitol']",,
"Mannitol 10% W/ Dextrose 5% In Distilled Water",,"Therapy","[u'Mannitol']",,
"Mannitol 15%",,"Therapy","[u'Mannitol']",,
"Mannitol 15% In Plastic Container",,"Therapy","[u'Mannitol']",,
"Mannitol 15% W/ Dextrose 5% In Sodium Chloride 0.45%",,"Therapy","[u'Mannitol']",,
"Mannitol 20%",,"Therapy","[u'Mannitol']",,
"Mannitol 20% In Plastic Container",,"Therapy","[u'Mannitol']",,
"Mannitol 25%",,"Therapy","[u'Mannitol']",,
"Mannitol 5%",,"Therapy","[u'Mannitol']",,
"Mannitol 5% In Plastic Container",,"Therapy","[u'Mannitol']",,
"Mannitol 5% W/ Dextrose 5% In Sodium Chloride 0.12%",,"Therapy","[u'Mannitol']",,
"Maolate",,"Therapy","[u'Chlorphenesin Carbamate']",,
"Maprotiline Hydrochloride",,"Therapy",,,
"Marcaine",,"Therapy","[u'Bupivacaine Hydrochloride']",,
"Marcaine Hydrochloride",,"Therapy","[u'Bupivacaine Hydrochloride']",,
"Marcaine Hydrochloride Preservative Free",,"Therapy","[u'Bupivacaine Hydrochloride']",,
"Marcaine Hydrochloride W/ Epinephrine",,"Therapy","[u'Bupivacaine Hydrochloride; Epinephrine Bitartrate']",,
"Marcaine Hydrochloride W/ Epinephrine Preservative Free",,"Therapy","[u'Bupivacaine Hydrochloride; Epinephrine Bitartrate']",,
"Marezine",,"Therapy","[u'Cyclizine Lactate']",,
"Marinol",,"Therapy","[u'Dronabinol']",,
"Marplan",,"Therapy","[u'Isocarboxazid']",,
"Matulane",,"Therapy","[u'Procarbazine Hydrochloride']",,
"Mavik",,"Therapy","[u'Trandolapril']",,
"Maxair",,"Therapy","[u'Pirbuterol Acetate']",,
"Maxalt",,"Therapy","[u'Rizatriptan Benzoate']",,
"Maxalt-Mlt",,"Therapy","[u'Rizatriptan Benzoate']",,
"Maxaquin",,"Therapy","[u'Lomefloxacin Hydrochloride']",,
"Maxibolin",,"Therapy","[u'Ethylestrenol']",,
"Maxidex",,"Therapy","[u'Dexamethasone Sodium Phosphate']",,
"Maxipime",,"Therapy","[u'Cefepime Hydrochloride']",,
"Maxitrol",,"Therapy","[u'Dexamethasone; Neomycin Sulfate; Polymyxin B Sulfate']",,
"Maxolon",,"Therapy","[u'Metoclopramide Hydrochloride']",,
"Maxzide",,"Therapy","[u'Hydrochlorothiazide; Triamterene']",,
"Maxzide-25",,"Therapy","[u'Hydrochlorothiazide; Triamterene']",,
"Mazanor",,"Therapy","[u'Mazindol']",,
"Md-50",,"Therapy","[u'Diatrizoate Sodium']",,
"Md-60",,"Therapy","[u'Diatrizoate Meglumine; Diatrizoate Sodium']",,
"Md-76",,"Therapy","[u'Diatrizoate Meglumine; Diatrizoate Sodium']",,
"Md-76R",,"Therapy","[u'Diatrizoate Meglumine; Diatrizoate Sodium']",,
"Md-Gastroview",,"Therapy","[u'Diatrizoate Meglumine; Diatrizoate Sodium']",,
"Mdp-Bracco",,"Therapy","[u'Technetium Tc-99M Medronate Kit']",,
"Measurin",,"Therapy","[u'Aspirin']",,
"Mebendazole",,"Therapy",,,
"Meclan",,"Therapy","[u'Meclocycline Sulfosalicylate']",,
"Meclizine Hydrochloride",,"Therapy",,,
"Meclodium",,"Therapy","[u'Meclofenamate Sodium']",,
"Meclofenamate Sodium",,"Therapy",,,
"Meclomen",,"Therapy","[u'Meclofenamate Sodium']",,
"Medigesic Plus",,"Therapy","[u'Acetaminophen; Butalbital; Caffeine']",,
"Medihaler Ergotamine",,"Therapy","[u'Ergotamine Tartrate']",,
"Medihaler-Epi",,"Therapy","[u'Epinephrine Bitartrate']",,
"Medihaler-Iso",,"Therapy","[u'Isoproterenol Sulfate']",,
"Medipren",,"Therapy","[u'Ibuprofen']",,
"Medrol",,"Therapy","[u'Methylprednisolone Acetate']",,
"Medrol Acetate",,"Therapy","[u'Methylprednisolone Acetate']",,
"Medroxyprogesterone Acetate",,"Therapy",,,
"Mefenamic Acid",,"Therapy",,,
"Mefloquine Hydrochloride",,"Therapy",,,
"Mefoxin",,"Therapy","[u'Cefoxitin Sodium']",,
"Mefoxin In Dextrose 5% In Plastic Container",,"Therapy","[u'Cefoxitin Sodium']",,
"Mefoxin In Plastic Container",,"Therapy","[u'Cefoxitin Sodium']",,
"Mefoxin In Sodium Chloride 0.9% In Plastic Container",,"Therapy","[u'Cefoxitin Sodium']",,
"Megace",,"Therapy","[u'Megestrol Acetate']",,
"Megace Es",,"Therapy","[u'Megestrol Acetate']",,
"Megatope",,"Therapy","[u'Albumin Iodinated I-131 Serum']",,
"Megestrol Acetate",,"Therapy",,,
"Melfiat",,"Therapy","[u'Phendimetrazine Tartrate']",,
"Melfiat-105",,"Therapy","[u'Phendimetrazine Tartrate']",,
"Mellaril",,"Therapy","[u'Thioridazine Hydrochloride']",,
"Mellaril-S",,"Therapy","[u'Thioridazine']",,
"Meloxicam",,"Therapy",,,
"Melphalan Hydrochloride",,"Therapy",,,
"Memantine",,"Therapy",,,
"Memantine Hydrochloride",,"Therapy",,,
"Membraneblue",,"Therapy","[u'Trypan Blue']",,
"Men'S Rogaine",,"Therapy","[u'Minoxidil']",,
"Menadione",,"Therapy",,,
"Menest",,"Therapy","[u'Estrogens, Esterified']",,
"Menopur",,"Therapy","[u'Menotropins (Fsh;Lh)']",,
"Menostar",,"Therapy","[u'Estradiol']",,
"Menotropins",,"Therapy","[u'Menotropins (Fsh;Lh)']",,
"Menrium 10-4",,"Therapy","[u'Chlordiazepoxide; Estrogens, Esterified']",,
"Menrium 5-2",,"Therapy","[u'Chlordiazepoxide; Estrogens, Esterified']",,
"Menrium 5-4",,"Therapy","[u'Chlordiazepoxide; Estrogens, Esterified']",,
"Mentax",,"Therapy","[u'Butenafine Hydrochloride']",,
"Mentax-Tc",,"Therapy","[u'Butenafine Hydrochloride']",,
"Mepergan",,"Therapy","[u'Meperidine Hydrochloride; Promethazine Hydrochloride']",,
"Meperidine And Atropine Sulfate",,"Therapy","[u'Atropine Sulfate; Meperidine Hydrochloride']",,
"Meperidine Hydrochloride",,"Therapy",,,
"Meperidine Hydrochloride Preservative Free",,"Therapy","[u'Meperidine Hydrochloride']",,
"Mephyton",,"Therapy","[u'Phytonadione']",,
"Mepivacaine Hydrochloride",,"Therapy",,,
"Mepivacaine Hydrochloride W/ Levonordefrin",,"Therapy","[u'Levonordefrin; Mepivacaine Hydrochloride']",,
"Mepriam",,"Therapy","[u'Meprobamate']",,
"Mepro-Aspirin",,"Therapy","[u'Aspirin; Meprobamate']",,
"Meprobamate",,"Therapy",,,
"Meprobamate And Aspirin",,"Therapy","[u'Aspirin; Meprobamate']",,
"Mepron",,"Therapy","[u'Atovaquone']",,
"Meprospan",,"Therapy","[u'Meprobamate']",,
"Mercaptopurine",,"Therapy",,,
"Meretek Ubt Kit (W/ Pranactin)",,"Therapy","[u'Urea C-13']",,
"Meridia",,"Therapy","[u'Sibutramine Hydrochloride']",,
"Meropenem",,"Therapy",,,
"Merrem I.V.",,"Therapy","[u'Meropenem']",,
"Mersalyl-Theophylline",,"Therapy","[u'Mersalyl Sodium; Theophylline']",,
"Mesalamine",,"Therapy",,,
"Mesantoin",,"Therapy","[u'Mephenytoin']",,
"Mesna",,"Therapy",,,
"Mesnex",,"Therapy","[u'Mesna']",,
"Mestinon",,"Therapy","[u'Pyridostigmine Bromide']",,
"Metadate Cd",,"Therapy","[u'Methylphenidate Hydrochloride']",,
"Metadate Er",,"Therapy","[u'Methylphenidate Hydrochloride']",,
"Metaglip",,"Therapy","[u'Glipizide; Metformin Hydrochloride']",,
"Metahydrin",,"Therapy","[u'Trichlormethiazide']",,
"Metandren",,"Therapy","[u'Methyltestosterone']",,
"Metaproterenol Sulfate",,"Therapy",,,
"Metaraminol Bitartrate",,"Therapy",,,
"Metastron",,"Therapy","[u'Strontium Chloride Sr-89']",,
"Metatensin #2",,"Therapy","[u'Reserpine; Trichlormethiazide']",,
"Metatensin #4",,"Therapy","[u'Reserpine; Trichlormethiazide']",,
"Metaxalone",,"Therapy",,,
"Metformin Hydrochloride",,"Therapy",,,
"Methadone Hydrochloride",,"Therapy",,,
"Methadone Hydrochloride Intensol",,"Therapy","[u'Methadone Hydrochloride']",,
"Methadose",,"Therapy","[u'Methadone Hydrochloride']",,
"Methampex",,"Therapy","[u'Methamphetamine Hydrochloride']",,
"Methamphetamine Hydrochloride",,"Therapy",,,
"Methazolamide",,"Therapy",,,
"Methdilazine Hydrochloride",,"Therapy",,,
"Methenamine Hippurate",,"Therapy",,,
"Methergine",,"Therapy","[u'Methylergonovine Maleate']",,
"Methimazole",,"Therapy",,,
"Methocarbamol",,"Therapy",,,
"Methocarbamol And Aspirin",,"Therapy","[u'Aspirin; Methocarbamol']",,
"Methotrexate Lpf",,"Therapy","[u'Methotrexate Sodium']",,
"Methotrexate Preservative Free",,"Therapy","[u'Methotrexate Sodium']",,
"Methotrexate Sodium",,"Therapy",,,
"Methotrexate Sodium Preservative Free",,"Therapy","[u'Methotrexate Sodium']",,
"Methoxsalen",,"Therapy",,,
"Methscopolamine Bromide",,"Therapy",,,
"Methyclothiazide",,"Therapy",,,
"Methyclothiazide And Deserpidine",,"Therapy","[u'Deserpidine; Methyclothiazide']",,
"Methyldopa",,"Therapy",,,
"Methyldopa And Chlorothiazide",,"Therapy","[u'Chlorothiazide; Methyldopa']",,
"Methyldopa And Hydrochlorothiazide",,"Therapy","[u'Hydrochlorothiazide; Methyldopa']",,
"Methyldopate Hcl",,"Therapy","[u'Methyldopate Hydrochloride']",,
"Methyldopate Hydrochloride",,"Therapy",,,
"Methylergonovine Maleate",,"Therapy",,,
"Methylin",,"Therapy","[u'Methylphenidate Hydrochloride']",,
"Methylin Er",,"Therapy","[u'Methylphenidate Hydrochloride']",,
"Methylphenidate Hydrochloride",,"Therapy",,,
"Methylprednisolone",,"Therapy",,,
"Methylprednisolone Acetate",,"Therapy",,,
"Methylprednisolone Sodium Succinate",,"Therapy",,,
"Methyltestosterone",,"Therapy",,,
"Meti-Derm",,"Therapy","[u'Prednisolone']",,
"Meticortelone",,"Therapy","[u'Prednisolone Acetate']",,
"Meticorten",,"Therapy","[u'Prednisone']",,
"Metimyd",,"Therapy","[u'Prednisolone Acetate; Sulfacetamide Sodium']",,
"Metipranolol",,"Therapy","[u'Metipranolol Hydrochloride']",,
"Metoclopramide Hcl",,"Therapy","[u'Metoclopramide Hydrochloride']",,
"Metoclopramide Hydrochloride",,"Therapy",,,
"Metoclopramide Intensol",,"Therapy","[u'Metoclopramide Hydrochloride']",,
"Metocurine Iodide",,"Therapy",,,
"Metolazone",,"Therapy",,,
"Metopirone",,"Therapy","[u'Metyrapone']",,
"Metoprolol Succinate",,"Therapy",,,
"Metoprolol Tartrate",,"Therapy",,,
"Metoprolol Tartrate And Hydrochlorothiazide",,"Therapy","[u'Hydrochlorothiazide; Metoprolol Tartrate']",,
"Metozolv Odt",,"Therapy","[u'Metoclopramide Hydrochloride']",,
"Metra",,"Therapy","[u'Phendimetrazine Tartrate']",,
"Metreton",,"Therapy","[u'Prednisolone Sodium Phosphate']",,
"Metro I.V.",,"Therapy","[u'Metronidazole']",,
"Metro I.V. In Plastic Container",,"Therapy","[u'Metronidazole']",,
"Metrocream",,"Therapy","[u'Metronidazole']",,
"Metrodin",,"Therapy","[u'Urofollitropin']",,
"Metrogel",,"Therapy","[u'Metronidazole']",,
"Metrogel-Vaginal",,"Therapy","[u'Metronidazole']",,
"Metrolotion",,"Therapy","[u'Metronidazole']",,
"Metromidol",,"Therapy","[u'Metronidazole']",,
"Metronidazole",,"Therapy",,,
"Metronidazole Hydrochloride",,"Therapy",,,
"Metronidazole In Plastic Container",,"Therapy","[u'Metronidazole']",,
"Metubine Iodide",,"Therapy","[u'Metocurine Iodide']",,
"Metvixia",,"Therapy","[u'Methyl Aminolevulinate Hydrochloride']",,
"Mevacor",,"Therapy","[u'Lovastatin']",,
"Mexate",,"Therapy","[u'Methotrexate Sodium']",,
"Mexate-Aq",,"Therapy","[u'Methotrexate Sodium']",,
"Mexate-Aq Preserved",,"Therapy","[u'Methotrexate Sodium']",,
"Mexiletine Hydrochloride",,"Therapy",,,
"Mexitil",,"Therapy","[u'Mexiletine Hydrochloride']",,
"Mezlin",,"Therapy","[u'Mezlocillin Sodium Monohydrate']",,
"Miacalcin",,"Therapy","[u'Calcitonin Salmon']",,
"Micardis",,"Therapy","[u'Telmisartan']",,
"Micardis Hct",,"Therapy","[u'Hydrochlorothiazide; Telmisartan']",,
"Miconazole 3",,"Therapy","[u'Miconazole Nitrate']",,
"Miconazole 3 Combination Pack",,"Therapy","[u'Miconazole Nitrate']",,
"Miconazole 7",,"Therapy","[u'Miconazole Nitrate']",,
"Miconazole 7 Combination Pack",,"Therapy","[u'Miconazole Nitrate']",,
"Miconazole Nitrate",,"Therapy",,,
"Miconazole Nitrate Combination Pack",,"Therapy","[u'Miconazole Nitrate']",,
"Micort-Hc",,"Therapy","[u'Hydrocortisone Acetate']",,
"Micrainin",,"Therapy","[u'Aspirin; Meprobamate']",,
"Micro-K",,"Therapy","[u'Potassium Chloride']",,
"Micro-K 10",,"Therapy","[u'Potassium Chloride']",,
"Micro-K Ls",,"Therapy","[u'Potassium Chloride']",,
"Microderm",,"Therapy","[u'Chlorhexidine Gluconate']",,
"Microgestin 1.5/30",,"Therapy","[u'Ethinyl Estradiol; Norethindrone Acetate']",,
"Microgestin 1/20",,"Therapy","[u'Ethinyl Estradiol; Norethindrone Acetate']",,
"Microgestin Fe 1.5/30",,"Therapy","[u'Ethinyl Estradiol; Norethindrone Acetate']",,
"Microgestin Fe 1/20",,"Therapy","[u'Ethinyl Estradiol; Norethindrone Acetate']",,
"Microlite",,"Therapy","[u'Technetium Tc-99M Albumin Colloid Kit']",,
"Micronase",,"Therapy","[u'Glyburide']",,
"Micronor",,"Therapy","[u'Norethindrone']",,
"Microsul",,"Therapy","[u'Sulfamethizole']",,
"Microzide",,"Therapy","[u'Hydrochlorothiazide']",,
"Midamor",,"Therapy","[u'Amiloride Hydrochloride']",,
"Midazolam Hydrochloride",,"Therapy",,,
"Midazolam Hydrochloride Preservative Free",,"Therapy","[u'Midazolam Hydrochloride']",,
"Midodrine Hydrochloride",,"Therapy",,,
"Midol",,"Therapy","[u'Ibuprofen']",,
"Midol Liquid Gels",,"Therapy","[u'Ibuprofen']",,
"Mifeprex",,"Therapy","[u'Mifepristone']",,
"Migergot",,"Therapy","[u'Caffeine; Ergotamine Tartrate']",,
"Migranal",,"Therapy","[u'Dihydroergotamine Mesylate']",,
"Milontin",,"Therapy","[u'Phensuximide']",,
"Milophene",,"Therapy","[u'Clomiphene Citrate']",,
"Milprem-200",,"Therapy","[u'Estrogens, Conjugated; Meprobamate']",,
"Milprem-400",,"Therapy","[u'Estrogens, Conjugated; Meprobamate']",,
"Milrinone Lactate",,"Therapy",,,
"Milrinone Lactate In Dextrose 5%",,"Therapy","[u'Milrinone Lactate']",,
"Milrinone Lactate In Dextrose 5% In Plastic Container",,"Therapy","[u'Milrinone Lactate']",,
"Milrinone Lactate In Plastic Container",,"Therapy","[u'Milrinone Lactate']",,
"Miltown",,"Therapy","[u'Meprobamate']",,
"Minipress",,"Therapy","[u'Prazosin Hydrochloride']",,
"Minipress Xl",,"Therapy","[u'Prazosin Hydrochloride']",,
"Minirin",,"Therapy","[u'Desmopressin Acetate']",,
"Minitec",,"Therapy","[u'Technetium Tc-99M Sodium Pertechnetate Generator']",,
"Minitran",,"Therapy","[u'Nitroglycerin']",,
"Minizide",,"Therapy","[u'Polythiazide; Prazosin Hydrochloride']",,
"Minocin",,"Therapy","[u'Minocycline Hydrochloride']",,
"Minocycline Hydrochloride",,"Therapy",,,
"Minodyl",,"Therapy","[u'Minoxidil']",,
"Minoxidil",,"Therapy",,,
"Minoxidil (For Men)",,"Therapy","[u'Minoxidil']",,
"Minoxidil (For Women)",,"Therapy","[u'Minoxidil']",,
"Minoxidil Extra Strength (For Men)",,"Therapy","[u'Minoxidil']",,
"Mintezol",,"Therapy","[u'Thiabendazole']",,
"Miochol",,"Therapy","[u'Acetylcholine Chloride']",,
"Miochol-E",,"Therapy","[u'Acetylcholine Chloride']",,
"Miostat",,"Therapy","[u'Carbachol']",,
"Miradon",,"Therapy","[u'Anisindione']",,
"Miralax",,"Therapy","[u'Polyethylene Glycol 3350']",,
"Miraluma",,"Therapy","[u'Technetium Tc-99M Sestamibi Kit']",,
"Mirapex",,"Therapy","[u'Pramipexole Dihydrochloride']",,
"Mirapex Er",,"Therapy","[u'Pramipexole Dihydrochloride']",,
"Mircera",,"Therapy","[u'Methoxy Polyethylene Glycol-Epoetin Beta']",,
"Mircette",,"Therapy","[u'Desogestrel; Ethinyl Estradiol']",,
"Mirena",,"Therapy","[u'Levonorgestrel']",,
"Mirtazapine",,"Therapy",,,
"Misoprostol",,"Therapy",,,
"Mithracin",,"Therapy","[u'Plicamycin']",,
"Mitomycin",,"Therapy",,,
"Mitoxantrone Hydrochloride",,"Therapy",,,
"Mitozytrex",,"Therapy","[u'Mitomycin']",,
"Mivacron",,"Therapy","[u'Mivacurium Chloride']",,
"Mivacron In Dextrose 5% In Plastic Container",,"Therapy","[u'Mivacurium Chloride']",,
"Mivacurium Chloride",,"Therapy",,,
"Mixtard Human 70/30",,"Therapy","[u'Insulin Recombinant Purified Human; Insulin Susp Isophane Semisynthetic Purified Human']",,
"Moban",,"Therapy","[u'Molindone Hydrochloride']",,
"Mobic",,"Therapy","[u'Meloxicam']",,
"Moctanin",,"Therapy","[u'Monoctanoin']",,
"Modafinil",,"Therapy",,,
"Moderil",,"Therapy","[u'Rescinnamine']",,
"Modicon 21",,"Therapy","[u'Ethinyl Estradiol; Norethindrone']",,
"Modicon 28",,"Therapy","[u'Ethinyl Estradiol; Norethindrone']",,
"Modrastane",,"Therapy","[u'Trilostane']",,
"Moduretic 5-50",,"Therapy","[u'Amiloride Hydrochloride; Hydrochlorothiazide']",,
"Moexipril Hydrochloride",,"Therapy",,,
"Moexipril Hydrochloride And Hydrochlorothiazide",,"Therapy","[u'Hydrochlorothiazide; Moexipril Hydrochloride']",,
"Mometasone Furoate",,"Therapy",,,
"Monistat",,"Therapy","[u'Miconazole']",,
"Monistat 1 Combination Pack",,"Therapy","[u'Miconazole Nitrate']",,
"Monistat 3",,"Therapy","[u'Miconazole Nitrate']",,
"Monistat 3 Combination Pack",,"Therapy","[u'Miconazole Nitrate']",,
"Monistat 3 Combination Pack (Prefilled)",,"Therapy","[u'Miconazole Nitrate']",,
"Monistat 5",,"Therapy","[u'Miconazole Nitrate']",,
"Monistat 7",,"Therapy","[u'Miconazole Nitrate']",,
"Monistat 7 Combination Pack",,"Therapy","[u'Miconazole Nitrate']",,
"Monistat Dual- Pak",,"Therapy","[u'Miconazole Nitrate']",,
"Monistat-3 Combination Pack",,"Therapy","[u'Miconazole Nitrate']",,
"Monistat-Derm",,"Therapy","[u'Miconazole Nitrate']",,
"Monocid",,"Therapy","[u'Cefonicid Sodium']",,
"Monodox",,"Therapy","[u'Doxycycline']",,
"Monoket",,"Therapy","[u'Isosorbide Mononitrate']",,
"Monopril",,"Therapy","[u'Fosinopril Sodium']",,
"Monopril-Hct",,"Therapy","[u'Fosinopril Sodium; Hydrochlorothiazide']",,
"Montelukast Sodium",,"Therapy",,,
"Monurol",,"Therapy","[u'Fosfomycin Tromethamine']",,
"Morphine Sulfate",,"Therapy",,,
"Motofen",,"Therapy","[u'Atropine Sulfate; Difenoxin Hydrochloride']",,
"Motofen Half-Strength",,"Therapy","[u'Atropine Sulfate; Difenoxin Hydrochloride']",,
"Motrin",,"Therapy","[u'Ibuprofen']",,
"Motrin Ib",,"Therapy","[u'Ibuprofen']",,
"Motrin Migraine Pain",,"Therapy","[u'Ibuprofen']",,
"Moviprep",,"Therapy","[u'Ascorbic Acid; Polyethylene Glycol 3350; Potassium Chloride; Sodium Ascorbate; Sodium Chloride; Sodium Sulfate']",,
"Moxam",,"Therapy","[u'Moxalactam Disodium']",,
"Moxatag",,"Therapy","[u'Amoxicillin']",,
"Moxeza",,"Therapy","[u'Moxifloxacin Hydrochloride']",,
"Moxifloxacin Hydrochloride",,"Therapy",,,
"Mozobil",,"Therapy","[u'Plerixafor']",,
"Mpi Dmsa Kidney Reagent",,"Therapy","[u'Technetium Tc-99M Succimer Kit']",,
"Mpi Dtpa Kit - Chelate",,"Therapy","[u'Technetium Tc-99M Pentetate Kit']",,
"Mpi Indium Dtpa In 111",,"Therapy","[u'Indium In-111 Pentetate Disodium']",,
"Mpi Krypton 81M Generator",,"Therapy","[u'Krypton, Kr-81M']",,
"Mpi Stannous Diphosphonate",,"Therapy","[u'Technetium Tc-99M Etidronate Kit']",,
"Ms Contin",,"Therapy","[u'Morphine Sulfate']",,
"Mucinex",,"Therapy","[u'Guaifenesin']",,
"Mucinex D",,"Therapy","[u'Guaifenesin; Pseudoephedrine Hydrochloride']",,
"Mucinex Dm",,"Therapy","[u'Dextromethorphan Hydrobromide; Guaifenesin']",,
"Mucomyst",,"Therapy","[u'Acetylcysteine']",,
"Mucomyst W/ Isoproterenol",,"Therapy","[u'Acetylcysteine; Isoproterenol Hydrochloride']",,
"Mucosil-10",,"Therapy","[u'Acetylcysteine']",,
"Mucosil-20",,"Therapy","[u'Acetylcysteine']",,
"Multaq",,"Therapy","[u'Dronedarone Hydrochloride']",,
"Multifuge",,"Therapy","[u'Piperazine Citrate']",,
"Multihance",,"Therapy","[u'Gadobenate Dimeglumine']",,
"Multihance Multipack",,"Therapy","[u'Gadobenate Dimeglumine']",,
"Mupirocin",,"Therapy",,,
"Muse",,"Therapy","[u'Alprostadil']",,
"Mustargen",,"Therapy","[u'Mechlorethamine Hydrochloride']",,
"Mutamycin",,"Therapy","[u'Mitomycin']",,
"Mvc Plus",,"Therapy","[u'Ascorbic Acid; Biotin; Cyanocobalamin; Dexpanthenol; Ergocalciferol; Folic Acid; Niacinamide; Pyridoxine Hydrochloride; Riboflavin 5-Phosphate Sodium; Thiamine Hydrochloride; Vitamin A; Vitamin E']",,
"Myambutol",,"Therapy","[u'Ethambutol Hydrochloride']",,
"Mycamine",,"Therapy","[u'Micafungin Sodium']",,
"Mycelex",,"Therapy","[u'Clotrimazole']",,
"Mycelex-7",,"Therapy","[u'Clotrimazole']",,
"Mycelex-7 Combination Pack",,"Therapy","[u'Clotrimazole']",,
"Mycelex-G",,"Therapy","[u'Clotrimazole']",,
"Mychel",,"Therapy","[u'Chloramphenicol']",,
"Mychel-S",,"Therapy","[u'Chloramphenicol Sodium Succinate']",,
"Mycifradin",,"Therapy","[u'Neomycin Sulfate']",,
"Mycitracin",,"Therapy","[u'Bacitracin; Neomycin Sulfate; Polymyxin B Sulfate']",,
"Myco-Triacet Ii",,"Therapy","[u'Nystatin; Triamcinolone Acetonide']",,
"Mycobutin",,"Therapy","[u'Rifabutin']",,
"Mycolog-Ii",,"Therapy","[u'Nystatin; Triamcinolone Acetonide']",,
"Mycophenolate Mofetil",,"Therapy",,,
"Mycophenolate Mofetil Hydrochloride",,"Therapy",,,
"Mycostatin",,"Therapy","[u'Nystatin']",,
"Mydriacyl",,"Therapy","[u'Tropicamide']",,
"Mydriafair",,"Therapy","[u'Tropicamide']",,
"Myfed",,"Therapy","[u'Pseudoephedrine Hydrochloride; Triprolidine Hydrochloride']",,
"Myfortic",,"Therapy","[u'Mycophenolic Acid']",,
"Myidyl",,"Therapy","[u'Triprolidine Hydrochloride']",,
"Mykacet",,"Therapy","[u'Nystatin; Triamcinolone Acetonide']",,
"Mykinac",,"Therapy","[u'Nystatin']",,
"Mykrox",,"Therapy","[u'Metolazone']",,
"Mylaxen",,"Therapy","[u'Hexafluorenium Bromide']",,
"Myleran",,"Therapy","[u'Busulfan']",,
"Mylotarg",,"Therapy","[u'Gemtuzumab Ozogamicin']",,
"Mymethazine Fortis",,"Therapy","[u'Promethazine Hydrochloride']",,
"Myobloc",,"Therapy","[u'Botulinum Toxin Type B']",,
"Myoscint",,"Therapy","[u'Imciromab Pentetate']",,
"Myotonachol",,"Therapy","[u'Bethanechol Chloride']",,
"Myoview",,"Therapy","[u'Technetium Tc-99M Tetrofosmin Kit']",,
"Myoview 30Ml",,"Therapy","[u'Technetium Tc-99M Tetrofosmin Kit']",,
"Myozyme",,"Therapy","[u'Alglucosidase Alfa']",,
"Myphetane Dc",,"Therapy","[u'Brompheniramine Maleate; Codeine Phosphate; Phenylpropanolamine Hydrochloride']",,
"Mysoline",,"Therapy","[u'Primidone']",,
"Mytelase",,"Therapy","[u'Ambenonium Chloride']",,
"Mytrex A",,"Therapy","[u'Neomycin Sulfate; Triamcinolone Acetonide']",,
"Mytrex F",,"Therapy","[u'Nystatin; Triamcinolone Acetonide']",,
"N.E.E. 1/35 21",,"Therapy","[u'Ethinyl Estradiol; Norethindrone']",,
"N.E.E. 1/35 28",,"Therapy","[u'Ethinyl Estradiol; Norethindrone']",,
"Nabumetone",,"Therapy",,,
"Nadolol",,"Therapy",,,
"Nadolol And Bendroflumethazide",,"Therapy","[u'Bendroflumethiazide; Nadolol']",,
"Nadolol And Bendroflumethiazide",,"Therapy","[u'Bendroflumethiazide; Nadolol']",,
"Nafazair",,"Therapy","[u'Naphazoline Hydrochloride']",,
"Nafcillin Sodium",,"Therapy",,,
"Naftin",,"Therapy","[u'Naftifine Hydrochloride']",,
"Naglazyme",,"Therapy","[u'Galsulfase']",,
"Nalbuphine",,"Therapy","[u'Nalbuphine Hydrochloride']",,
"Nalbuphine Hydrochloride",,"Therapy",,,
"Nalfon",,"Therapy","[u'Fenoprofen Calcium']",,
"Nalidixic Acid",,"Therapy",,,
"Nallpen",,"Therapy","[u'Nafcillin Sodium']",,
"Nallpen In Plastic Container",,"Therapy","[u'Nafcillin Sodium']",,
"Naloxone",,"Therapy","[u'Naloxone Hydrochloride']",,
"Naloxone Hcl",,"Therapy","[u'Naloxone Hydrochloride']",,
"Naloxone Hydrochloride",,"Therapy",,,
"Naltrexone Hydrochloride",,"Therapy",,,
"Namenda",,"Therapy","[u'Memantine Hydrochloride']",,
"Namenda Xr",,"Therapy","[u'Memantine Hydrochloride']",,
"Nandrolone Decanoate",,"Therapy",,,
"Nandrolone Phenpropionate",,"Therapy",,,
"Naphazoline Hydrochloride",,"Therapy",,,
